node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail,,,,,
fm57-03,Linker-run,4,2022-12-12 14:07:57.476385,2022-12-12 16:31:41.123929,2,2022-12-12 16:31:34.496042,2022-12-12 16:31:41.295897,1.99036730919033E-06,,7.87020253483206E-05,2022-12-12 16:39:24,0.005355371562473
fm57-05,Kinematics-remote-run,4,2022-12-12 14:07:49.917308,2022-12-12 16:31:37.521540,2,2022-12-12 16:31:22.750771,2022-12-12 16:31:37.679853,1.83232623385265E-06,,0.000172790307261,2022-12-12 16:39:25,0.005408797995187
fm57-05,HistoricalRecord-run,4,2022-12-12 14:07:49.938551,2022-12-12 16:31:38.816624,2,2022-12-12 16:31:21.560651,2022-12-12 16:31:38.893755,8.92716343514621E-07,,0.000200614631467,2022-12-12 16:39:26,0.005406322285126
fm57-05,NavigationAid-garbage-run,4,2022-12-12 14:07:49.962662,2022-12-12 16:31:40.124002,2,2022-12-12 16:31:29.690649,2022-12-12 16:31:40.155732,3.67246684618294E-07,,0.000121123644931,2022-12-12 16:39:27,0.005403290138929
fm57-06,Aisinterface-nmea-run,4,2022-12-12 14:08:08.885471,2022-12-12 16:31:53.688324,2,2022-12-12 16:31:42.358689,2022-12-12 16:31:53.693611,6.11908035352826E-08,,0.00013119122741,2022-12-12 16:39:28,0.005258175799099
fm57-06,ShipdataSitep-run,4,2022-12-12 14:08:08.887427,2022-12-12 16:31:54.843275,2,2022-12-12 16:31:41.210010,2022-12-12 16:31:54.848521,6.07178662903607E-08,,0.000157853137353,2022-12-12 16:39:29,0.005256382857624
fm57-06,ShipdataGps-run,4,2022-12-12 14:08:08.889513,2022-12-12 16:31:55.902799,2,2022-12-12 16:31:40.037465,2022-12-12 16:31:55.904374,1.82335497811437E-08,,0.000183644784556,2022-12-12 16:39:30,0.005255736410618
fm57-07,Logger-run,4,2022-12-12 14:08:02.288492,2022-12-12 16:31:43.947802,2,2022-12-12 16:31:37.340834,2022-12-12 16:31:43.957785,1.15549482870847E-07,,7.65850854804739E-05,2022-12-12 16:39:31,0.005405581192463
fm57-07,NavigationAid-persistent-run,4,2022-12-12 14:08:02.290644,2022-12-12 16:31:45.029597,2,2022-12-12 16:31:36.251281,2022-12-12 16:31:45.035556,6.89688022248447E-08,,0.000101669851574,2022-12-12 16:39:32,0.005404681061918
fm57-07,Rms-controller-run,4,2022-12-12 14:08:02.292726,2022-12-12 16:31:46.226311,2,2022-12-12 16:31:34.011894,2022-12-12 16:31:46.227980,1.9317667465657E-08,,0.000141389886267,2022-12-12 16:39:33,0.005402453934948
fm57-10,NavigationAid-run,4,2022-12-12 14:07:49.299476,2022-12-12 16:31:32.686937,2,2022-12-12 16:31:25.335554,2022-12-12 16:31:32.764393,8.96485289558768E-07,,8.59819338074885E-05,2022-12-12 16:39:34,0.005569856562943
fm57-10,Vigilance-run,4,2022-12-12 14:07:49.475156,2022-12-12 16:31:35.384888,2,2022-12-12 16:31:20.372582,2022-12-12 16:31:35.516997,1.52904249262065E-06,,0.000175282584678,2022-12-12 16:39:35,0.005549571789743
fm57-10,Simulation-remote-run,4,2022-12-12 14:07:49.542165,2022-12-12 16:31:36.763518,2,2022-12-12 16:31:19.071531,2022-12-12 16:31:36.826440,7.28265149518847E-07,,0.000205496631679,2022-12-12 16:39:36,0.005545990279643
fm57-11,ShipdataCalculator-run,4,2022-12-12 14:07:54.552946,2022-12-12 16:31:27.653860,2,2022-12-12 16:31:19.638801,2022-12-12 16:31:27.733637,9.23348125070334E-07,,9.36902288231067E-05,2022-12-12 16:39:37,0.005662805124302
fm57-c01a,GuiDisplay-run,4,2022-12-12 14:07:50.165770,2022-12-12 16:31:25.796669,2,2022-12-12 16:31:16.066383,2022-12-12 16:31:25.848941,6.04995875619352E-07,,0.000113224050438,2022-12-12 16:39:38,0.005696192813048
fm57-c01b,GuiSoundWarnings-run,3,2022-12-12 16:33:49.810142,2022-12-12 16:33:57.975591,2,2022-12-12 16:33:51.118405,2022-12-12 16:33:58.045969,8.14565282780677E-07,,8.01801434135996E-05,2022-12-12 16:39:39,0.00394622721069
fm57-c02b,GuiSoundWarnings-run,3,2022-12-12 16:32:23.406715,2022-12-12 16:32:32.286988,2,2022-12-12 16:32:24.935171,2022-12-12 16:32:32.537285,2.89695162791759E-06,,8.79874278325588E-05,2022-12-12 16:39:40,0.00494748512574
fm57-c02b,GuiRootPanel-run,3,2022-12-12 16:32:20.384684,2022-12-12 16:32:34.131489,2,2022-12-12 16:32:23.469825,2022-12-12 16:32:34.150204,2.16612534131855E-07,,0.000123615500343,2022-12-12 16:39:41,0.004940391154378
fm57-c03a,GuiDisplay-run,3,2022-12-12 16:31:28.039008,2022-12-12 16:31:39.402940,2,2022-12-12 16:31:30.412611,2022-12-12 16:31:39.464660,7.14353518560529E-07,,0.0001047690821,2022-12-12 16:39:42,0.005584899772657
fm57-c03b,GuiRootPanel-run,3,2022-12-12 16:31:28.706153,2022-12-12 16:31:38.961860,2,2022-12-12 16:31:29.877230,2022-12-12 16:31:38.998906,4.28772182203829E-07,,0.000105574952613,2022-12-12 16:39:43,0.005601864511846
fm57-c04a,Rms-node-run,5,2022-12-12 14:07:46.949496,2022-12-12 16:38:04.686945,2,2022-12-12 16:31:03.438473,2022-12-12 16:38:04.710152,2.68599251285195E-07,,0.004875829617959,2022-12-12 16:39:44,0.001149188057752
fm57-c04b,GuiSoundWarnings-run,4,2022-12-12 14:07:58.359524,2022-12-12 15:50:59.047329,2,2022-12-12 15:50:52.422031,2022-12-12 15:50:59.073945,3.08056769426912E-07,,7.69897451391444E-05,2022-12-12 16:39:45,0.033864884891955
fm57-c07a,GuiDisplay-run,4,2022-12-12 14:07:58.949697,2022-12-12 16:31:50.145806,2,2022-12-12 16:31:40.728224,2022-12-12 16:31:50.181100,4.084940883331E-07,,0.000109408283606,2022-12-12 16:39:46,0.005507163194125
fm57-c07b,GuiRootPanel-run,4,2022-12-12 14:08:01.406623,2022-12-12 16:31:34.065025,2,2022-12-12 16:31:24.853150,2022-12-12 16:31:34.101873,4.26480255555362E-07,,0.000107045401819,2022-12-12 16:39:47,0.005704839437385
fm57-c08a,GuiDisplay-run,4,2022-12-12 14:07:43.027560,2022-12-12 16:31:43.786473,2,2022-12-12 16:31:34.411020,2022-12-12 16:31:43.814321,3.22310370393097E-07,,0.000108834501589,2022-12-12 16:39:48,0.0056040009149
fm57-c09a,GuiDisplay-run,4,2022-12-12 14:07:49.585612,2022-12-12 16:31:41.084589,2,2022-12-12 16:31:32.211365,2022-12-12 16:31:41.113820,3.38317477144301E-07,,0.000103037673398,2022-12-12 16:39:49,0.005646830788464
fm57-c09b,GuiRootPanel-run,4,2022-12-12 14:08:03.121501,2022-12-12 16:31:37.489641,2,2022-12-12 16:31:28.268407,2022-12-12 16:31:37.539641,5.78700564801693E-07,,0.000107305946585,2022-12-12 16:39:50,0.005699772678781
