node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail
fm57-09,Rms-node-run,4,2022-12-14 16:25:52.144659,2022-12-14 17:36:09.354559,2,2022-12-14 16:25:54.887192,2022-12-14 17:36:09.662299
fm57-09,Kinematics-remote-run,2,2022-12-14 16:26:02.543087,2022-12-14 17:36:17.610302,2,2022-12-14 16:26:04.118790,2022-12-14 17:36:19.790788
fm57-c04a,Rms-node-run,4,2022-12-14 16:27:53.937573,2022-12-14 17:36:25.449742,2,2022-12-14 16:27:55.074957,2022-12-14 17:36:25.503893
fm57-09,Exocet-run,6,2022-12-14 16:25:59.573603,2022-12-14 17:36:25.551140,4,2022-12-14 16:26:01.279875,2022-12-14 17:36:26.165355
fm57-c01a,Rms-node-run,4,2022-12-14 16:26:10.688541,2022-12-14 17:36:26.703296,2,2022-12-14 16:26:11.763473,2022-12-14 17:36:26.714147
fm57-t01,Rms-node-run,4,2022-12-14 16:28:22.249229,2022-12-14 17:36:27.993148,2,2022-12-14 16:28:23.314118,2022-12-14 17:36:28.017750
fm57-c01b,Rms-node-run,4,2022-12-14 16:27:44.251614,2022-12-14 17:36:29.029482,2,2022-12-14 16:27:45.520941,2022-12-14 17:36:29.049834
fm57-c04b,Rms-node-run,4,2022-12-14 16:28:21.544683,2022-12-14 17:36:30.899411,2,2022-12-14 16:28:22.676421,2022-12-14 17:36:30.910008
fm57-11,Rms-node-run,4,2022-12-14 16:26:13.901597,2022-12-14 17:36:31.210135,2,2022-12-14 16:26:15.107025,2022-12-14 17:36:31.293767
fm57-06,Rms-node-run,4,2022-12-14 16:26:12.105765,2022-12-14 17:36:32.343975,2,2022-12-14 16:26:13.216521,2022-12-14 17:36:32.389919
fm57-07,Rms-node-run,4,2022-12-14 16:26:12.010199,2022-12-14 17:36:32.536205,2,2022-12-14 16:26:13.096589,2022-12-14 17:36:32.574426
fm57-c03b,Rms-node-run,4,2022-12-14 16:27:33.362547,2022-12-14 17:36:32.614648,2,2022-12-14 16:27:34.498263,2022-12-14 17:36:32.623353
fm57-c02a,Rms-node-run,4,2022-12-14 16:26:35.621294,2022-12-14 17:36:33.042062,2,2022-12-14 16:26:37.851849,2022-12-14 17:36:33.093857
fm57-05,Rms-node-run,4,2022-12-14 16:26:15.257944,2022-12-14 17:36:33.739508,2,2022-12-14 16:26:16.350998,2022-12-14 17:36:33.776272
fm57-c02b,Rms-node-run,4,2022-12-14 16:26:58.815812,2022-12-14 17:36:33.661655,2,2022-12-14 16:27:00.276156,2022-12-14 17:36:33.856844
fm57-10,Rms-node-run,4,2022-12-14 16:26:14.503122,2022-12-14 17:36:34.849101,2,2022-12-14 16:26:16.735459,2022-12-14 17:36:34.935348
