node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail
fm57-09,ospl,1,2022-12-13 08:33:42.951188,2022-12-13 08:33:42.951188,1,2022-12-13 10:24:35.939058,2022-12-13 10:24:35.939058
fm57-09,spliced,1,2022-12-13 08:33:43.193739,2022-12-13 08:33:43.193739,1,2022-12-13 10:24:36.044427,2022-12-13 10:24:36.044427
fm57-c08b,Rms-node-run,1,2022-12-13 08:33:46.142238,2022-12-13 08:33:46.142238,1,2022-12-13 10:31:08.567463,2022-12-13 10:31:08.567463
fm57-c08b,durability,1,2022-12-13 08:33:46.129261,2022-12-13 08:33:46.129261,1,2022-12-13 10:31:20.148439,2022-12-13 10:31:20.148439
fm57-c08a,GuiDisplay-run,1,2022-12-13 08:33:47.586637,2022-12-13 08:33:47.586637,1,2022-12-13 10:31:28.872654,2022-12-13 10:31:28.872654
fm57-c08a,EcRegMsg,2,2022-12-13 08:33:47.567863,2022-12-13 08:33:47.599983,2,2022-12-13 10:31:28.854256,2022-12-13 10:31:33.519693
fm57-c08a,GuiDisplaySec-run,1,2022-12-13 08:33:47.554135,2022-12-13 08:33:47.554135,1,2022-12-13 10:31:33.532851,2022-12-13 10:31:33.532851
fm57-c08b,networking,1,2022-12-13 08:33:46.110504,2022-12-13 08:33:46.110504,1,2022-12-13 10:31:36.652341,2022-12-13 10:31:36.652341
fm57-c08b,ospl,1,2022-12-13 08:33:46.048775,2022-12-13 08:33:46.048775,1,2022-12-13 10:31:36.664000,2022-12-13 10:31:36.664000
fm57-c08b,spliced,1,2022-12-13 08:33:46.094357,2022-12-13 08:33:46.094357,1,2022-12-13 10:31:36.687690,2022-12-13 10:31:36.687690
fm57-c08a,Rms-node-run,2,2022-12-13 08:33:47.542071,2022-12-13 10:31:41.457418,2,2022-12-13 10:31:28.864455,2022-12-13 10:31:42.701471
fm57-c08a,ospl,1,2022-12-13 08:33:47.457962,2022-12-13 08:33:47.457962,1,2022-12-13 10:31:47.162673,2022-12-13 10:31:47.162673
