node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail
fm57-c01a,GuiDisplaySec-r,3,2022-12-14 01:14:00.048004,2022-12-14 01:34:30.831510,3,2022-12-14 01:14:01.141294,2022-12-14 01:34:31.953213
fm57-c01a,Rms-node-run,15,2022-12-14 01:18:51.973418,2022-12-14 02:30:51.085043,12,2022-12-14 02:10:58.466836,2022-12-14 02:30:51.104361
fm57-c04a,Rms-node-run,15,2022-12-14 01:18:55.056955,2022-12-14 02:31:08.319804,12,2022-12-14 02:10:42.091904,2022-12-14 02:31:08.336324
fm57-c01a,GuiDisplay-run,775,2022-12-14 01:13:00.262202,2022-12-14 02:53:25.225743,771,2022-12-14 01:13:00.315960,2022-12-14 02:53:26.315072
fm57-c01a,EcRegMsg,453,2022-12-14 01:13:00.280663,2022-12-14 02:53:24.120933,449,2022-12-14 01:13:00.301377,2022-12-14 02:53:52.856033
fm57-c01a,GuiDisplaySec-run,764,2022-12-14 01:13:01.389349,2022-12-14 02:53:53.924786,760,2022-12-14 01:13:01.413963,2022-12-14 02:53:53.933915
fm57-c04a,GuiDisplaySec-r,8,2022-12-14 01:20:37.688002,2022-12-14 03:28:13.460710,8,2022-12-14 01:20:38.778462,2022-12-14 03:28:14.542668
fm57-c04a,GuiDisplay-run,1702,2022-12-14 01:13:03.291469,2022-12-14 03:30:27.796091,1698,2022-12-14 01:13:03.300374,2022-12-14 03:30:28.879520
fm57-c04a,GuiDisplaySec-run,1724,2022-12-14 01:13:04.398268,2022-12-14 03:30:53.548484,1721,2022-12-14 01:13:00.070662,2022-12-14 03:30:53.572225
