node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail
fm57-c07a,EcRegMsg,3,2022-12-14 13:54:17.663642,2022-12-14 14:02:04.293343,1,2022-12-14 14:03:50.371461,2022-12-14 14:03:50.371461
fm57-c03b,GuiRootPanel-run,3,2022-12-14 13:54:17.909662,2022-12-14 14:23:33.640183,2,2022-12-14 14:23:32.479685,2022-12-14 14:23:33.648950
fm57-c07b,durability,1,2022-12-14 13:54:18.232237,2022-12-14 13:54:18.232237,1,2022-12-14 15:49:20.422931,2022-12-14 15:49:20.422931
fm57-c09b,durability,1,2022-12-14 13:54:21.280163,2022-12-14 13:54:21.280163,1,2022-12-14 15:49:21.527757,2022-12-14 15:49:21.527757
fm57-c08b,durability,1,2022-12-14 13:54:20.009903,2022-12-14 13:54:20.009903,1,2022-12-14 15:49:21.833150,2022-12-14 15:49:21.833150
fm57-c04b,durability,1,2022-12-14 13:54:20.238895,2022-12-14 13:54:20.238895,1,2022-12-14 15:49:24.063891,2022-12-14 15:49:24.063891
fm57-c07b,ospl,1,2022-12-14 13:54:18.173049,2022-12-14 13:54:18.173049,1,2022-12-14 15:49:24.851594,2022-12-14 15:49:24.851594
fm57-c07b,spliced,1,2022-12-14 13:54:18.202827,2022-12-14 13:54:18.202827,1,2022-12-14 15:49:24.881548,2022-12-14 15:49:24.881548
fm57-c08b,ospl,1,2022-12-14 13:54:19.931946,2022-12-14 13:54:19.931946,1,2022-12-14 15:49:26.239042,2022-12-14 15:49:26.239042
fm57-c08b,spliced,1,2022-12-14 13:54:19.973247,2022-12-14 13:54:19.973247,1,2022-12-14 15:49:26.260497,2022-12-14 15:49:26.260497
fm57-c09b,spliced,1,2022-12-14 13:54:21.235446,2022-12-14 13:54:21.235446,1,2022-12-14 15:49:26.282765,2022-12-14 15:49:26.282765
fm57-c09b,ospl,1,2022-12-14 13:54:21.200911,2022-12-14 13:54:21.200911,1,2022-12-14 15:49:27.389821,2022-12-14 15:49:27.389821
fm57-c04b,spliced,1,2022-12-14 13:54:20.199285,2022-12-14 13:54:20.199285,1,2022-12-14 15:49:29.575791,2022-12-14 15:49:29.575791
fm57-c04b,ospl,1,2022-12-14 13:54:20.157947,2022-12-14 13:54:20.157947,1,2022-12-14 15:49:29.590034,2022-12-14 15:49:29.590034
fm57-c03b,Rms-node-run,1,2022-12-14 13:54:17.893737,2022-12-14 13:54:17.893737,1,2022-12-14 15:50:36.891506,2022-12-14 15:50:36.891506
fm57-c03b,durability,1,2022-12-14 13:54:17.874274,2022-12-14 13:54:17.874274,1,2022-12-14 15:50:40.182662,2022-12-14 15:50:40.182662
fm57-c03b,ospl,1,2022-12-14 13:54:17.804103,2022-12-14 13:54:17.804103,1,2022-12-14 15:50:52.798561,2022-12-14 15:50:52.798561
fm57-c03b,spliced,1,2022-12-14 13:54:17.838689,2022-12-14 13:54:17.838689,1,2022-12-14 15:50:52.823681,2022-12-14 15:50:52.823681
fm57-c04b,Rms-node-run,2,2022-12-14 13:54:20.260617,2022-12-14 15:57:49.246328,2,2022-12-14 15:49:20.430658,2022-12-14 15:57:50.348479
fm57-c01b,Rms-node-run,3,2022-12-14 13:54:16.644574,2022-12-14 16:10:24.381128,1,2022-12-14 16:10:24.496140,2022-12-14 16:10:24.496140
fm57-c01b,GuiSoundWarnings-run,9,2022-12-14 13:54:16.869662,2022-12-14 16:10:56.516642,8,2022-12-14 16:10:34.703130,2022-12-14 16:10:58.131941
