node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail
fm57-c08b,durability,1,2022-12-13 14:02:51.159096,2022-12-13 14:02:51.159096,1,2022-12-13 15:43:26.488523,2022-12-13 15:43:26.488523
fm57-c08b,ospl,1,2022-12-13 14:02:51.069169,2022-12-13 14:02:51.069169,1,2022-12-13 15:43:35.454041,2022-12-13 15:43:35.454041
fm57-c08b,spliced,1,2022-12-13 14:02:51.116959,2022-12-13 14:02:51.116959,1,2022-12-13 15:43:35.474129,2022-12-13 15:43:35.474129
fm57-c01b,durability,1,2022-12-13 14:02:48.812415,2022-12-13 14:02:48.812415,1,2022-12-13 15:53:52.708408,2022-12-13 15:53:52.708408
fm57-c04b,durability,1,2022-12-13 14:02:50.875890,2022-12-13 14:02:50.875890,1,2022-12-13 15:54:01.525853,2022-12-13 15:54:01.525853
fm57-c01b,ospl,1,2022-12-13 14:02:48.672489,2022-12-13 14:02:48.672489,1,2022-12-13 15:54:07.889833,2022-12-13 15:54:07.889833
fm57-c01b,spliced,1,2022-12-13 14:02:48.741722,2022-12-13 14:02:48.741722,1,2022-12-13 15:54:07.932223,2022-12-13 15:54:07.932223
fm57-c06b,durability,1,2022-12-13 14:02:49.678858,2022-12-13 14:02:49.678858,1,2022-12-13 15:54:22.421831,2022-12-13 15:54:22.421831
fm57-c04b,networking,1,2022-12-13 14:02:50.853292,2022-12-13 14:02:50.853292,1,2022-12-13 15:54:26.629874,2022-12-13 15:54:26.629874
fm57-c04b,ospl,1,2022-12-13 14:02:50.794836,2022-12-13 14:02:50.794836,1,2022-12-13 15:54:26.639756,2022-12-13 15:54:26.639756
fm57-c04b,spliced,1,2022-12-13 14:02:50.841013,2022-12-13 14:02:50.841013,1,2022-12-13 15:54:26.660178,2022-12-13 15:54:26.660178
fm57-c06b,ospl,1,2022-12-13 14:02:49.605251,2022-12-13 14:02:49.605251,1,2022-12-13 15:54:33.372223,2022-12-13 15:54:33.372223
fm57-c06b,spliced,1,2022-12-13 14:02:49.641015,2022-12-13 14:02:49.641015,1,2022-12-13 15:54:33.392940,2022-12-13 15:54:33.392940
fm57-c01b,Rms-node-run,7,2022-12-13 14:02:48.635368,2022-12-13 16:28:28.607122,7,2022-12-13 15:53:46.150918,2022-12-13 16:28:29.840669
fm57-c04b,Rms-node-run,3,2022-12-13 14:02:50.899171,2022-12-13 16:34:40.121921,3,2022-12-13 15:53:58.127468,2022-12-13 16:34:41.237545
